Year,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,States,Counties
2020,NC,North Carolina,Forsyth,37067,37067002807,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,79.5,,,76.9,81.9,5031,POINT (-80.2712063 36.23347304),37067002807,PREVENT,MAMMOUSE,CrdPrv,Mammography,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003315,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,33.8,,,32.9,34.7,3424,POINT (-80.06639415 36.09662422),37067003315,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002809,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,15.2,,,14,16.3,2238,POINT (-80.33905387 36.22017695),37067002809,RISKBEH,CSMOKING,CrdPrv,Current Smoking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004013,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,51.1,,,44.3,57.3,3083,POINT (-80.39616926 36.03375437),37067004013,PREVENT,COREW,CrdPrv,Core preventive services for older women,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003312,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,29.4,,,27.8,30.8,2692,POINT (-80.08847512 36.05925237),37067003312,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003105,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.3,,,9.7,11,3649,POINT (-80.14051155 36.19347844),37067003105,HLTHOUT,DIABETES,CrdPrv,Diabetes,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003804,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,28.9,,,27.9,30,4100,POINT (-80.32104682 36.03855459),37067003804,HLTHOUT,OBESITY,CrdPrv,Obesity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002701,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,16,,,15,17,5864,POINT (-80.30932926 36.16277665),37067002701,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002702,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,39,,,31.9,45.8,5675,POINT (-80.27692647 36.16200929),37067002702,PREVENT,COREW,CrdPrv,Core preventive services for older women,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002703,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3,,,2.8,3.2,6039,POINT (-80.28414477 36.14657959),37067002703,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001300,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,8.5,,,7.3,9.7,4535,POINT (-80.27617771 36.12959564),37067001300,HLTHSTAT,GHLTH,CrdPrv,General Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001602,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,9.1,,,8.1,10,3077,POINT (-80.22093654 36.12260812),37067001602,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001300,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,15,,,10.7,20.2,4535,POINT (-80.27617771 36.12959564),37067001300,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000600,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,8,,,7.1,8.9,2056,POINT (-80.22950124 36.10806171),37067000600,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001000,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.2,,,15.6,16.7,4652,POINT (-80.26490783 36.07843284),37067001000,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003309,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.2,,,3,3.3,4956,POINT (-80.17945558 36.09222425),37067003309,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003201,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,20.8,,,18.4,23.5,4774,POINT (-80.0940727 36.12512118),37067003201,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003805,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,13.1,,,11.6,14.8,5573,POINT (-80.32271014 36.06428965),37067003805,HLTHSTAT,GHLTH,CrdPrv,General Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,79,,,74.5,82.3,1959,POINT (-80.26839411 36.10931829),37067001200,PREVENT,DENTAL,CrdPrv,Dental Visit,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003108,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,13.4,,,13,13.8,3495,POINT (-80.05234686 36.15036202),37067003108,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001602,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,84.7,,,82.3,87,3077,POINT (-80.22093654 36.12260812),37067001602,PREVENT,MAMMOUSE,CrdPrv,Mammography,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002901,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,47,,,42.7,51,4784,POINT (-80.2290432 36.21429108),37067002901,PREVENT,COREW,CrdPrv,Core preventive services for older women,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003309,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,59.4,,,57.3,61.7,4956,POINT (-80.17945558 36.09222425),37067003309,PREVENT,DENTAL,CrdPrv,Dental Visit,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004005,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.7,,,7.9,9.7,4695,POINT (-80.40059216 36.00488745),37067004005,HLTHOUT,DIABETES,CrdPrv,Diabetes,37,2337
2019,NC,North Carolina,Forsyth,37067,37067004014,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,32.9,,,31.9,34,3016,POINT (-80.3720694 36.02610959),37067004014,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,37,2337
2019,NC,North Carolina,Forsyth,37067,37067004104,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,77.1,,,76.2,77.9,3429,POINT (-80.37297472 36.16789211),37067004104,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001100,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.4,,,5,5.7,2254,POINT (-80.26221307 36.09504854),37067001100,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003106,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,18.1,,,16.1,20.2,3099,POINT (-80.0991692 36.2316984),37067003106,RISKBEH,CSMOKING,CrdPrv,Current Smoking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,15.1,,,12.4,18.9,1959,POINT (-80.26839411 36.10931829),37067001200,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002501,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,89.8,,,88,91.2,2590,POINT (-80.28289292 36.10440801),37067002501,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003909,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,78.3,,,75.1,81.3,4356,POINT (-80.34762093 36.0959267),37067003909,PREVENT,DENTAL,CrdPrv,Dental Visit,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000200,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,25.3,,,23.9,26.6,1103,POINT (-80.24817006 36.10548533),37067000200,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004103,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.6,,,11.8,13.4,3478,POINT (-80.3727443 36.13434041),37067004103,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004103,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,14.7,,,14.3,15.2,3478,POINT (-80.3727443 36.13434041),37067004103,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003806,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,9,,,8.1,9.9,3012,POINT (-80.34715788 36.04204472),37067003806,HLTHSTAT,PHLTH,CrdPrv,Physical Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003307,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.7,,,6.3,7,3405,POINT (-80.10183262 36.1026448),37067003307,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),37,2337
2020,NC,North Carolina,Forsyth,37067,37067003904,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,28.5,,,27.6,29.4,5907,POINT (-80.35496008 36.06964182),37067003904,HLTHOUT,OBESITY,CrdPrv,Obesity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002603,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,12.8,,,10.9,15.3,6553,POINT (-80.31761918 36.13376913),37067002603,PREVENT,ACCESS2,CrdPrv,Health Insurance,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003600,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,30.8,,,30,31.5,5968,POINT (-80.24387607 36.01874338),37067003600,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003402,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,79.5,,,78.8,80.3,2182,POINT (-80.13998466 36.03910993),37067003402,PREVENT,CHECKUP,CrdPrv,Annual Checkup,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001700,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.9,,,39.8,42,5231,POINT (-80.19974096 36.11442226),37067001700,HLTHOUT,OBESITY,CrdPrv,Obesity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003701,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,25,,,22.9,27.3,4830,POINT (-80.26968853 36.05616365),37067003701,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003909,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,26.4,,,25,28.1,4356,POINT (-80.34762093 36.0959267),37067003909,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003312,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.5,,,6.2,6.8,2692,POINT (-80.08847512 36.05925237),37067003312,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),37,2337
2020,NC,North Carolina,Forsyth,37067,37067000802,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,7.7,,,7,8.5,2100,POINT (-80.23127538 36.07657807),37067000802,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002901,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,25.4,,,23.9,27,4784,POINT (-80.2290432 36.21429108),37067002901,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2019,NC,North Carolina,Forsyth,37067,37067001700,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,39.8,,,38.8,40.8,5231,POINT (-80.19974096 36.11442226),37067001700,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003803,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,20.8,,,20.2,21.5,4567,POINT (-80.30978958 36.02238988),37067003803,HLTHOUT,DEPRESSION,CrdPrv,Depression,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003500,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,25.6,,,24.6,26.6,6562,POINT (-80.20883199 36.03399069),37067003500,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001400,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,4.1,,,3.9,4.4,3710,POINT (-80.25535261 36.14223383),37067001400,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000600,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,12.3,,,11.6,13.2,2056,POINT (-80.22950124 36.10806171),37067000600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002100,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,9.4,,,8.2,10.9,2151,POINT (-80.28521372 36.07447023),37067002100,HLTHSTAT,PHLTH,CrdPrv,Physical Health,37,2337
2019,NC,North Carolina,Forsyth,37067,37067002807,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,76,,,75.3,76.6,5031,POINT (-80.2712063 36.23347304),37067002807,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000700,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,23.1,,,19.4,26.7,1764,POINT (-80.23109571 36.09824121),37067000700,RISKBEH,CSMOKING,CrdPrv,Current Smoking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004011,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,23.1,,,21.7,24.3,5645,POINT (-80.39294077 36.08837501),37067004011,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002901,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,22.6,,,21.7,23.6,4784,POINT (-80.2290432 36.21429108),37067002901,HLTHOUT,DEPRESSION,CrdPrv,Depression,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004014,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.3,,,11.6,13,3016,POINT (-80.3720694 36.02610959),37067004014,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004015,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.3,,,6,6.7,3296,POINT (-80.36811626 35.99743566),37067004015,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),37,2337
2019,NC,North Carolina,Forsyth,37067,37067003805,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.5,,,87.3,87.7,5573,POINT (-80.32271014 36.06428965),37067003805,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001400,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.1,,,10.6,11.6,3710,POINT (-80.25535261 36.14223383),37067001400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,37,2337
2019,NC,North Carolina,Forsyth,37067,37067000900,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,84.3,,,84.2,84.4,3508,POINT (-80.24909082 36.08422545),37067000900,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004104,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,56.8,,,52.1,61.8,3429,POINT (-80.37297472 36.16789211),37067004104,PREVENT,COREW,CrdPrv,Core preventive services for older women,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001602,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,29.1,,,28,30,3077,POINT (-80.22093654 36.12260812),37067001602,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001000,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.7,,,11,14.4,4652,POINT (-80.26490783 36.07843284),37067001000,HLTHSTAT,GHLTH,CrdPrv,General Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001901,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,19.2,,,18.4,19.9,1549,POINT (-80.22677871 36.06489855),37067001901,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004104,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,8.7,,,7.7,9.7,3429,POINT (-80.37297472 36.16789211),37067004104,HLTHSTAT,PHLTH,CrdPrv,Physical Health,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003202,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,33.4,,,32.6,34.3,3904,POINT (-80.05426352 36.12260613),37067003202,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004010,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.6,,,7.3,7.9,3392,POINT (-80.3798613 36.10896479),37067004010,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001601,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,4.5,,,4.2,4.9,3652,POINT (-80.21232108 36.14057573),37067001601,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2019,NC,North Carolina,Forsyth,37067,37067000900,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,74.1,,,73.1,75.1,3508,POINT (-80.24909082 36.08422545),37067000900,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003600,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,50.4,,,44.6,56.3,5968,POINT (-80.24387607 36.01874338),37067003600,PREVENT,COREM,CrdPrv,Core preventive services for older men,37,2337
2019,NC,North Carolina,Forsyth,37067,37067001700,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.4,,,87.1,87.8,5231,POINT (-80.19974096 36.11442226),37067001700,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003903,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,71.9,,,69.5,74.3,4477,POINT (-80.32389444 36.07881572),37067003903,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,28.9,,,26.9,31.3,1959,POINT (-80.26839411 36.10931829),37067001200,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001000,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.1,,,4.4,5.9,4652,POINT (-80.26490783 36.07843284),37067001000,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003310,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,21.2,,,20.2,22.2,4061,POINT (-80.15049361 36.07676397),37067003310,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003806,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.7,,,2.5,2.9,3012,POINT (-80.34715788 36.04204472),37067003806,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000900,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,21.5,,,18.4,25.5,3508,POINT (-80.24909082 36.08422545),37067000900,PREVENT,ACCESS2,CrdPrv,Health Insurance,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003803,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.1,,,5.7,6.5,4567,POINT (-80.30978958 36.02238988),37067003803,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,23.7,,,22.3,25.2,1959,POINT (-80.26839411 36.10931829),37067001200,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001400,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.2,,,14.2,16.3,3710,POINT (-80.25535261 36.14223383),37067001400,HLTHSTAT,PHLTH,CrdPrv,Physical Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001601,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.5,,,10,11.1,3652,POINT (-80.21232108 36.14057573),37067001601,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002200,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,79.1,,,76.1,81.4,3742,POINT (-80.2848544 36.08549947),37067002200,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004103,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,88.1,,,86.6,89.4,3478,POINT (-80.3727443 36.13434041),37067004103,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,37,2337
